fecha,FK_TipoDato,FK_Periodo,Anyo,Valor,Secreto,data_type,extraction_date
2001-12-31,1,1970-01-01 00:00:00.000000001,2002,69.53,False,groups,2025-10-27 17:19:17
2002-01-31,1,1970-01-01 00:00:00.000000002,2002,69.59,False,groups,2025-10-27 17:19:17
2002-02-28,1,1970-01-01 00:00:00.000000003,2002,70.165,False,groups,2025-10-27 17:19:17
2002-03-31,1,1970-01-01 00:00:00.000000004,2002,71.118,False,groups,2025-10-27 17:19:17
2002-04-30,1,1970-01-01 00:00:00.000000005,2002,71.374,False,groups,2025-10-27 17:19:17
2002-05-31,1,1970-01-01 00:00:00.000000006,2002,71.377,False,groups,2025-10-27 17:19:17
2002-06-30,1,1970-01-01 00:00:00.000000007,2002,70.882,False,groups,2025-10-27 17:19:17
2002-07-31,1,1970-01-01 00:00:00.000000008,2002,71.085,False,groups,2025-10-27 17:19:17
2002-08-31,1,1970-01-01 00:00:00.000000009,2002,71.351,False,groups,2025-10-27 17:19:17
2002-09-30,1,1970-01-01 00:00:00.000000010,2002,72.058,False,groups,2025-10-27 17:19:17
2002-10-31,1,1970-01-01 00:00:00.000000011,2002,72.169,False,groups,2025-10-27 17:19:17
2002-11-30,1,1970-01-01 00:00:00.000000012,2002,72.409,False,groups,2025-10-27 17:19:17
2002-12-31,1,1970-01-01 00:00:00.000000001,2003,72.111,False,groups,2025-10-27 17:19:17
2003-01-31,1,1970-01-01 00:00:00.000000002,2003,72.264,False,groups,2025-10-27 17:19:17
2003-02-28,1,1970-01-01 00:00:00.000000003,2003,72.765,False,groups,2025-10-27 17:19:17
2003-03-31,1,1970-01-01 00:00:00.000000004,2003,73.357,False,groups,2025-10-27 17:19:17
2003-04-30,1,1970-01-01 00:00:00.000000005,2003,73.289,False,groups,2025-10-27 17:19:17
2003-05-31,1,1970-01-01 00:00:00.000000006,2003,73.338,False,groups,2025-10-27 17:19:17
2003-06-30,1,1970-01-01 00:00:00.000000007,2003,72.878,False,groups,2025-10-27 17:19:17
2003-07-31,1,1970-01-01 00:00:00.000000008,2003,73.213,False,groups,2025-10-27 17:19:17
2003-08-31,1,1970-01-01 00:00:00.000000009,2003,73.431,False,groups,2025-10-27 17:19:17
2003-09-30,1,1970-01-01 00:00:00.000000010,2003,73.926,False,groups,2025-10-27 17:19:17
2003-10-31,1,1970-01-01 00:00:00.000000011,2003,74.167,False,groups,2025-10-27 17:19:17
2003-11-30,1,1970-01-01 00:00:00.000000012,2003,74.294,False,groups,2025-10-27 17:19:17
2003-12-31,1,1970-01-01 00:00:00.000000001,2004,73.773,False,groups,2025-10-27 17:19:17
2004-01-31,1,1970-01-01 00:00:00.000000002,2004,73.807,False,groups,2025-10-27 17:19:17
2004-02-29,1,1970-01-01 00:00:00.000000003,2004,74.322,False,groups,2025-10-27 17:19:17
2004-03-31,1,1970-01-01 00:00:00.000000004,2004,75.34,False,groups,2025-10-27 17:19:17
2004-04-30,1,1970-01-01 00:00:00.000000005,2004,75.784,False,groups,2025-10-27 17:19:17
2004-05-31,1,1970-01-01 00:00:00.000000006,2004,75.904,False,groups,2025-10-27 17:19:17
2004-06-30,1,1970-01-01 00:00:00.000000007,2004,75.328,False,groups,2025-10-27 17:19:17
2004-07-31,1,1970-01-01 00:00:00.000000008,2004,75.661,False,groups,2025-10-27 17:19:17
2004-08-31,1,1970-01-01 00:00:00.000000009,2004,75.796,False,groups,2025-10-27 17:19:17
2004-09-30,1,1970-01-01 00:00:00.000000010,2004,76.575,False,groups,2025-10-27 17:19:17
