fecha,FK_TipoDato,FK_Periodo,Anyo,Valor,Secreto,data_type,extraction_date
2001-12-31,1,1,2002,69.53,False,groups,2025-10-27 17:19:17
2002-01-31,1,2,2002,69.59,False,groups,2025-10-27 17:19:17
2002-02-28,1,3,2002,70.165,False,groups,2025-10-27 17:19:17
2002-03-31,1,4,2002,71.118,False,groups,2025-10-27 17:19:17
2002-04-30,1,5,2002,71.374,False,groups,2025-10-27 17:19:17
2002-05-31,1,6,2002,71.377,False,groups,2025-10-27 17:19:17
2002-06-30,1,7,2002,70.882,False,groups,2025-10-27 17:19:17
2002-07-31,1,8,2002,71.085,False,groups,2025-10-27 17:19:17
2002-08-31,1,9,2002,71.351,False,groups,2025-10-27 17:19:17
2002-09-30,1,10,2002,72.058,False,groups,2025-10-27 17:19:17
2002-10-31,1,11,2002,72.169,False,groups,2025-10-27 17:19:17
2002-11-30,1,12,2002,72.409,False,groups,2025-10-27 17:19:17
2002-12-31,1,1,2003,72.111,False,groups,2025-10-27 17:19:17
2003-01-31,1,2,2003,72.264,False,groups,2025-10-27 17:19:17
2003-02-28,1,3,2003,72.765,False,groups,2025-10-27 17:19:17
2003-03-31,1,4,2003,73.357,False,groups,2025-10-27 17:19:17
2003-04-30,1,5,2003,73.289,False,groups,2025-10-27 17:19:17
2003-05-31,1,6,2003,73.338,False,groups,2025-10-27 17:19:17
2003-06-30,1,7,2003,72.878,False,groups,2025-10-27 17:19:17
2003-07-31,1,8,2003,73.213,False,groups,2025-10-27 17:19:17
2003-08-31,1,9,2003,73.431,False,groups,2025-10-27 17:19:17
2003-09-30,1,10,2003,73.926,False,groups,2025-10-27 17:19:17
2003-10-31,1,11,2003,74.167,False,groups,2025-10-27 17:19:17
2003-11-30,1,12,2003,74.294,False,groups,2025-10-27 17:19:17
2003-12-31,1,1,2004,73.773,False,groups,2025-10-27 17:19:17
2004-01-31,1,2,2004,73.807,False,groups,2025-10-27 17:19:17
2004-02-29,1,3,2004,74.322,False,groups,2025-10-27 17:19:17
2004-03-31,1,4,2004,75.34,False,groups,2025-10-27 17:19:17
2004-04-30,1,5,2004,75.784,False,groups,2025-10-27 17:19:17
2004-05-31,1,6,2004,75.904,False,groups,2025-10-27 17:19:17
